,Sharp_Ratio_annl,Sortino_Ratio_annl,annual_return_strat_over_buyhold,atr_thrshld,days_in_trade,end,long_ma,mar,max_drawdown,max_drawdown_pct,mean_annl_pct_return_buyhold,mean_annl_pct_return_strat,mean_annl_pct_return_trd_avg,short_ma,start,tradesperyear,years,tck
0,0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,MSFT
0,-0.00913530911959849,-0.013042305503681169,-20.125302717957037,0.0,10,2017-03-13 00:00:00,50,-0.014207462076303442,,23.1719876416,19.79608758230633,-0.3292151356507067,2.773200227057971,5,1986-05-22 00:00:00,4.28152492669,30.83013698630137,MSFT
0,0.059979314898743946,0.08702793303428812,-17.5238114155432,0.0,20,2017-03-13 00:00:00,50,0.0632530146916772,,35.9236026589,19.79608758230633,2.272276166763132,0.9236573520584156,5,1986-05-22 00:00:00,4.28152492669,30.83013698630137,MSFT
0,0.12342807928190824,0.18015337275538157,-14.901143673860972,0.0,30,2017-03-13 00:00:00,50,0.11523671123231831,,42.4772961333,19.79608758230633,4.894943908445359,0.42498067453631616,5,1986-05-22 00:00:00,4.28152492669,30.83013698630137,MSFT
0,-0.025591797015462263,-0.03617717366528651,-21.100334627645456,0.5,10,2017-03-13 00:00:00,50,-0.0412375857935329,,22.7490676612,20.162217998245357,-0.9381166294000987,2.620965033886637,5,1986-05-22 00:00:00,4.31396072159,30.83013698630137,MSFT
0,0.05152044846050026,0.07430201037809503,-18.173519813073067,0.5,20,2017-03-13 00:00:00,50,0.049364599870860476,,40.2859172438,20.162217998245357,1.9886981851722885,0.9311342587758699,5,1986-05-22 00:00:00,4.31396072159,30.83013698630137,MSFT
0,0.12276215080790318,0.17946412838949932,-15.278433621424247,0.5,30,2017-03-13 00:00:00,50,0.11915347918387814,,40.9873417904,20.162217998245357,4.88378437682111,0.4225282365260884,5,1986-05-22 00:00:00,4.31396072159,30.83013698630137,MSFT
0,-0.026031393431321905,-0.03674449814829452,-21.623345552831264,1.0,10,2017-03-13 00:00:00,50,-0.04196500783527594,,22.7490676612,20.66868075018533,-0.9546648026459326,2.640487851033886,5,1986-05-22 00:00:00,4.34639651648,30.83013698630137,MSFT
0,0.06159785303684856,0.08904035708015182,-18.286939162729897,1.0,20,2017-03-13 00:00:00,50,0.05912094722927482,,40.2859172438,20.66868075018533,2.3817415874554326,0.9387399498444973,5,1986-05-22 00:00:00,4.34639651648,30.83013698630137,MSFT
0,0.1263119340474657,0.1848347061600641,-15.64293679522686,1.0,30,2017-03-13 00:00:00,50,0.1166158353756043,,43.0965823704,20.66868075018533,5.025743954958473,0.44063799539683113,5,1986-05-22 00:00:00,4.34639651648,30.83013698630137,MSFT
0,-0.01929001376828399,-0.027274715490181484,-21.323465133706435,1.5,10,2017-03-13 00:00:00,50,-0.031013696169108047,,22.7490676612,20.61793246113264,-0.7055326725737943,2.688071546005611,5,1986-05-22 00:00:00,4.28152492669,30.83013698630137,MSFT
0,0.08310065556906465,0.12106288380296691,-17.450600085001657,1.5,20,2017-03-13 00:00:00,50,0.07862132955694438,,40.2859172438,20.61793246113264,3.1673323761309824,0.9665516127504574,5,1986-05-22 00:00:00,4.28152492669,30.83013698630137,MSFT
0,0.14186486228353776,0.20772078476207315,-15.106732831621475,1.5,30,2017-03-13 00:00:00,50,0.12788020131488692,,43.0965823704,20.61793246113264,5.511199629511165,0.4563381033410725,5,1986-05-22 00:00:00,4.28152492669,30.83013698630137,MSFT
0,0.16805650422384516,0.2637336622986954,-18.21218242823215,0.0,10,2017-03-13 00:00:00,50,0.31324946208979737,,19.8584070796,24.43281776389108,6.220635335658931,3.3954803047005693,10,1986-05-22 00:00:00,3.30845107971,30.83013698630137,MSFT
0,0.20511106435310827,0.3093681189279192,-16.396324467410174,0.0,20,2017-03-13 00:00:00,50,0.21374454159963202,,37.5985895889,24.43281776389108,8.036493296480906,1.4932762777925233,10,1986-05-22 00:00:00,3.30845107971,30.83013698630137,MSFT
0,0.1938709075961367,0.28655961476339586,-16.776663546616668,0.0,30,2017-03-13 00:00:00,50,0.20243707386054766,,37.8199213774,24.43281776389108,7.6561542172744135,0.6975473506826699,10,1986-05-22 00:00:00,3.30845107971,30.83013698630137,MSFT
0,0.15732180336197132,0.24547116377506176,-19.029857168784982,0.5,10,2017-03-13 00:00:00,50,0.2926109320464264,,19.8584070796,24.840644173317173,5.810787004532192,3.3615189222069026,10,1986-05-22 00:00:00,3.30845107971,30.83013698630137,MSFT
0,0.1798719793396896,0.2688310103816949,-17.780039051723097,0.5,20,2017-03-13 00:00:00,50,0.1877890952502863,,37.5985895889,24.840644173317173,7.060605121594077,1.485590833154167,10,1986-05-22 00:00:00,3.30845107971,30.83013698630137,MSFT
0,0.17916064077992985,0.263476545846554,-17.76454995350889,0.5,30,2017-03-13 00:00:00,50,0.18709965441755166,,37.8199213774,24.840644173317173,7.076094219808282,0.7032594865078395,10,1986-05-22 00:00:00,3.30845107971,30.83013698630137,MSFT
0,0.14971380969923587,0.23255108083212073,-18.131043163139225,1.0,10,2017-03-13 00:00:00,50,0.2758670798221587,,19.8584070796,23.609323934120496,5.47828077098127,2.9997320186638934,10,1986-05-22 00:00:00,3.43819425931,30.83013698630137,MSFT
0,0.16150643911236165,0.24040872355874093,-17.319970340389744,1.0,20,2017-03-13 00:00:00,50,0.16727631707708124,,37.5985895889,23.609323934120496,6.289353593730751,1.3220298840002498,10,1986-05-22 00:00:00,3.43819425931,30.83013698630137,MSFT
0,0.17386484629040797,0.2558217781359453,-16.765539316653964,1.0,30,2017-03-13 00:00:00,50,0.18095713497591567,,37.8199213774,23.609323934120496,6.843784617466531,0.6843246773151329,10,1986-05-22 00:00:00,3.43819425931,30.83013698630137,MSFT
0,0.14554366429645127,0.22582618017766298,-18.46759333982131,1.5,10,2017-03-13 00:00:00,50,0.26666900732920207,,19.8584070796,23.763215042889364,5.295621703068054,2.774369892890889,10,1986-05-22 00:00:00,3.50306584911,30.83013698630137,MSFT
0,0.15896001620494574,0.23663354925045144,-17.602854013684823,1.5,20,2017-03-13 00:00:00,50,0.16384553507338206,,37.5985895889,23.763215042889364,6.160361029204542,1.3837238011742963,10,1986-05-22 00:00:00,3.50306584911,30.83013698630137,MSFT
0,0.1708604530973398,0.2513789797213018,-17.074275919991003,1.5,30,2017-03-13 00:00:00,50,0.176862851092482,,37.8199213774,23.763215042889364,6.688939122898363,0.7820900005128687,10,1986-05-22 00:00:00,3.50306584911,30.83013698630137,MSFT
0,0.15682812979211902,0.24964443403905562,-16.943327702441422,0.0,10,2017-03-13 00:00:00,50,0.2587688271331624,,22.8824032703,22.864580358678154,5.921252656236731,5.430563813147295,15,1986-05-22 00:00:00,2.88678574602,30.83013698630137,MSFT
0,0.15735458613638126,0.23370497081887356,-16.612848005875545,0.0,20,2017-03-13 00:00:00,50,0.16888025839529677,,37.018728016,22.864580358678154,6.251732352802608,1.1643475478880414,15,1986-05-22 00:00:00,2.88678574602,30.83013698630137,MSFT
0,0.152930372799332,0.22396500412924195,-16.809905016460533,0.0,30,2017-03-13 00:00:00,50,0.16095307031788392,,37.6176442628,22.864580358678154,6.054675342217619,0.7003964678202627,15,1986-05-22 00:00:00,2.88678574602,30.83013698630137,MSFT
0,0.15102700791453585,0.23704991005964413,-15.477126874504886,0.5,10,2017-03-13 00:00:00,50,0.2450950982128495,,22.8824032703,21.085491751378616,5.608364876873728,5.3136804629463,15,1986-05-22 00:00:00,3.01652892562,30.83013698630137,MSFT
0,0.10494640886713782,0.1533678714210231,-16.95206987942226,0.5,20,2017-03-13 00:00:00,50,0.1116575877532294,,37.018728016,21.085491751378616,4.133421871956355,1.170628640784486,15,1986-05-22 00:00:00,3.01652892562,30.83013698630137,MSFT
0,0.12182232333360862,0.1766749206687376,-16.26556571960187,0.5,30,2017-03-13 00:00:00,50,0.11742572152162703,,41.0465949821,21.085491751378616,4.8199260317767445,0.8911698244525603,15,1986-05-22 00:00:00,3.01652892562,30.83013698630137,MSFT
