,Sharp Ratio annl,Sortino Ratio annl,atr thrshld,days in trade,end,long ma,mar,max drawdown,mean annl pct return,mean annl pct return buyhold,mean annl pct return strat,mean annl pct return trd avg,short ma,start,years
0,0,0,0,0,0,0,0,0,0.0,0,,0,0,0,0
0,-0.002043911185681185,-0.003021259668984185,0.5,5,2017-03-09 00:00:00,50,-0.007286506885295529,0.185,,1.618684214304622,-0.1348003773779416,19633.37928734934,10,1993-04-27 00:00:00,23.882191780821916
0,-0.016669329574930485,-0.02460308304954639,0.5,15,2017-03-09 00:00:00,50,-0.018273572207302403,0.625,,1.618684214304622,-1.1420982629562926,395.08684149793913,10,1993-04-27 00:00:00,23.882191780821916
0,0.013477716587289695,0.02051883814613198,0.5,25,2017-03-09 00:00:00,50,0.014992459988458004,0.655,,1.618684214304622,0.9820061292439286,434.31376352432346,10,1993-04-27 00:00:00,23.882191780821916
0,-0.02308123458445666,-0.03262301777597559,1.0,5,2017-03-09 00:00:00,50,-0.08120009051123549,0.184138559708,,1.2894134092770626,-1.4952067714921857,19619.190005336382,10,1993-04-27 00:00:00,23.882191780821916
0,-0.03348596178781363,-0.0486327529189832,1.0,15,2017-03-09 00:00:00,50,-0.04346341901642599,0.525210084034,,1.2894134092770626,-2.2827425954003555,355.29184258923243,10,1993-04-27 00:00:00,23.882191780821916
0,-0.0009026333540086529,-0.0013596220691643377,1.0,25,2017-03-09 00:00:00,50,-0.0011945056100964469,0.550420168067,,1.2894134092770626,-0.06574799786664975,401.58285736492576,10,1993-04-27 00:00:00,23.882191780821916
0,-0.03387955055956559,-0.04736701300203961,1.5,5,2017-03-09 00:00:00,50,-0.11799997229867476,0.184138559708,,0.8991400562016194,-2.172834494469633,5730.210361015716,10,1993-04-27 00:00:00,23.882191780821916
0,-0.04385170308835494,-0.06367946155822608,1.5,15,2017-03-09 00:00:00,50,-0.057104274990364544,0.525210084034,,0.8991400562016194,-2.9991741066365707,304.20921962967856,10,1993-04-27 00:00:00,23.882191780821916
0,-0.005740643930798266,-0.008653957048953137,1.5,25,2017-03-09 00:00:00,50,-0.0076023008954060264,0.550420168067,,0.8991400562016194,-0.4184459736546797,378.7877211437665,10,1993-04-27 00:00:00,23.882191780821916
0,-0.026957237033991218,-0.036408751023350595,2.0,5,2017-03-09 00:00:00,50,-0.08870427325127773,0.184138559708,,1.1020680566688368,-1.633387711646106,4782.568534538059,10,1993-04-27 00:00:00,23.882191780821916
0,-0.04676697987946693,-0.06697052425247355,2.0,15,2017-03-09 00:00:00,50,-0.05906063592078297,0.525210084034,,1.1020680566688368,-3.1019241555030774,308.6770291526467,10,1993-04-27 00:00:00,23.882191780821916
0,-0.006699807156045546,-0.010015854583534389,2.0,25,2017-03-09 00:00:00,50,-0.008735345223474404,0.550420168067,,1.1020680566688368,-0.4808110186029779,383.7193945232117,10,1993-04-27 00:00:00,23.882191780821916
0,-0.0022830410259625684,-0.0033134222039219265,0.5,5,2017-03-09 00:00:00,50,-0.005541766532778379,0.275734216773,,4.9810060840656645,-0.15280546544536033,15825.838071034463,20,1993-04-27 00:00:00,23.882191780821916
0,0.011932871132343115,0.017533345406211244,0.5,15,2017-03-09 00:00:00,50,0.017572945690862613,0.477957615396,,4.9810060840656645,0.8399123217896154,4862.295330264376,20,1993-04-27 00:00:00,23.882191780821916
0,0.009468458034748455,0.014321198043953931,0.5,25,2017-03-09 00:00:00,50,0.014573208581328979,0.487704918033,,4.9810060840656645,0.7107425496631681,4787.266497294924,20,1993-04-27 00:00:00,23.882191780821916
0,-0.0014037198430925778,-0.0020345878004568033,1.0,5,2017-03-09 00:00:00,50,-0.0035011454421046448,0.264069264069,,4.404616258705718,-0.09245449002960315,15448.784664585384,20,1993-04-27 00:00:00,23.882191780821916
0,0.013596082614294803,0.020264033667646397,1.0,15,2017-03-09 00:00:00,50,0.021193351015619012,0.463114754098,,4.404616258705718,0.9814953544118321,2463.604313915782,20,1993-04-27 00:00:00,23.882191780821916
0,0.022835911821467467,0.03490765552478461,1.0,25,2017-03-09 00:00:00,50,0.0356246915032581,0.487704918033,,4.404616258705718,1.7374337249539629,2402.6879319917202,20,1993-04-27 00:00:00,23.882191780821916
0,-0.008345969019346752,-0.011780682975944617,1.5,5,2017-03-09 00:00:00,50,-0.0196569110717407,0.264069264069,,5.11761904944894,-0.5190786040589535,5797.490849173545,20,1993-04-27 00:00:00,23.882191780821916
0,-0.003052946102062135,-0.004491377696023151,1.5,15,2017-03-09 00:00:00,50,-0.004510075807022001,0.488584474886,,5.11761904944894,-0.22035530198690756,2304.90182958453,20,1993-04-27 00:00:00,23.882191780821916
0,0.015534195274221813,0.02356220811925494,1.5,25,2017-03-09 00:00:00,50,0.02162712183306376,0.543378995434,,5.11761904944894,1.1751723735774267,2124.3121586943994,20,1993-04-27 00:00:00,23.882191780821916
0,0.012355088991810839,0.01801346736101034,2.0,5,2017-03-09 00:00:00,50,0.030079753401084756,0.264069264069,,5.695435888043288,0.7943138344009393,3648.2284948835463,20,1993-04-27 00:00:00,23.882191780821916
0,0.018713614237824066,0.02784667320481285,2.0,15,2017-03-09 00:00:00,50,0.027451830660881495,0.488584474886,,5.695435888043288,1.3412538268101182,2693.9097807986195,20,1993-04-27 00:00:00,23.882191780821916
0,0.03683301366666205,0.05664666148195623,2.0,25,2017-03-09 00:00:00,50,0.05140757027694753,0.543378995434,,5.695435888043288,2.7933793894779457,2654.8894577906435,20,1993-04-27 00:00:00,23.882191780821916
0,0.06871145298985917,0.10567787710241355,0.5,5,2017-03-09 00:00:00,50,0.18719284194354446,0.242424242424,,6.260204394225943,4.5380082895398965,123296.12767384997,30,1993-04-27 00:00:00,23.882191780821916
0,0.03402865784458576,0.05161720991690526,0.5,15,2017-03-09 00:00:00,50,0.05492427231888299,0.458874458874,,6.260204394225943,2.520334573939964,1254.478196464531,30,1993-04-27 00:00:00,23.882191780821916
0,0.10902214245661733,0.16940175446990166,0.5,25,2017-03-09 00:00:00,50,0.16514690070815533,0.484848484848,,6.260204394225943,8.007122458577044,1201.9318583607262,30,1993-04-27 00:00:00,23.882191780821916
0,0.020644215763907563,0.029986132569350128,1.0,5,2017-03-09 00:00:00,50,0.052893737063890896,0.260273972603,,4.5942866371782465,1.376686307142494,113232.5923666285,30,1993-04-27 00:00:00,23.882191780821916
0,0.03022667989896882,0.04545064262585707,1.0,15,2017-03-09 00:00:00,50,0.05126245048549636,0.429223744292,,4.5942866371782465,2.2003060938979857,1608.246153527233,30,1993-04-27 00:00:00,23.882191780821916
0,0.07593056974691906,0.11678761135635127,1.0,25,2017-03-09 00:00:00,50,0.10746422629353132,0.51598173516,,4.5942866371782465,5.544957795054417,1633.1816562642161,30,1993-04-27 00:00:00,23.882191780821916
0,0.04090320559456225,0.061931825202466304,1.5,5,2017-03-09 00:00:00,50,0.10405454084169463,0.260273972603,,5.9742050567114235,2.708268871222441,1077879.57538181,30,1993-04-27 00:00:00,23.882191780821916
