,start,end,years,mean annl pct return,max drawdown,mar,Sortino Ratio annl,Sharp Ratio annl,long ma,short ma,atr thrshld,days in trade
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,5.036498361759967,0.2608,0.1931172684723915,0.13946381252589377,0.08104695189312221,260,30,0.5,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,6.322949621822183,0.382075471698,0.16548954565755777,0.1654928504754433,0.09861516385634553,260,30,0.5,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,8.062834605206248,0.4128,0.19532060574627547,0.20169305531396572,0.11854154366026427,260,30,0.5,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.499882731425725,0.4128,0.23013281810624345,0.24536945429441348,0.1405627620372987,260,30,0.5,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,5.036498361759967,0.2608,0.1931172684723915,0.13946381252589377,0.08104695189312221,260,30,1.0,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,6.322949621822183,0.382075471698,0.16548954565755777,0.1654928504754433,0.09861516385634553,260,30,1.0,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,8.062834605206248,0.4128,0.19532060574627547,0.20169305531396572,0.11854154366026427,260,30,1.0,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.499882731425725,0.4128,0.23013281810624345,0.24536945429441348,0.1405627620372987,260,30,1.0,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,4.786219861835095,0.2608,0.18352070022373843,0.13144071351142417,0.07789161239455432,260,30,1.5,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,6.111004032427814,0.382075471698,0.15994232776229808,0.1597808965756888,0.09599144010847933,260,30,1.5,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,7.319906816605326,0.4128,0.17732332404567172,0.18291076437836767,0.10890873008196755,260,30,1.5,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.085317051778574,0.4128,0.22009004485897718,0.23527829692397847,0.13597732226653791,260,30,1.5,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,4.6752003768326444,0.2608,0.17926381813008618,0.12934676579381163,0.07701375700712605,260,30,2.0,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,5.839448971482875,0.382075471698,0.15283496073509767,0.15443123264624664,0.09328296455980861,260,30,2.0,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,6.714791654489782,0.4128,0.16266452651380292,0.1701654319586315,0.10201250599675786,260,30,2.0,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,8.584355390758036,0.4128,0.20795434570634785,0.22556812185263544,0.1310987880090211,260,30,2.0,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,7.238430781930494,0.255886970173,0.2828760986558118,0.20032503081672456,0.11090134007612432,260,30,2.5,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,8.296106565442063,0.382075471698,0.21713266566340816,0.22629747242893875,0.12920573598055013,260,30,2.5,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,9.278576336185518,0.405023547881,0.2290873304709372,0.2426149277903958,0.14013339051860588,260,30,2.5,50
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,10.132596245179748,0.405023547881,0.25017301582091106,0.2680586458556106,0.15476698604643827,260,30,2.5,60
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,5.109097333099788,0.255707762557,0.19980219927657042,0.13084515613137052,0.07858004907258707,260,40,0.5,30
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,8.040602157310218,0.369863013699,0.21739405832726758,0.20519688708342193,0.11857300845594121,260,40,0.5,40
0,1994-02-23 00:00:00,2017-03-03 00:00:00,23.03835616438356,10.505345331322546,0.400621118012,0.2622264493554932,0.268495711391059,0.15126139156154556,260,40,0.5,50
