,0,1,2,3,4,5,sharpe_ratio,return_annualized,amzn_return_pct,xom_return_pct,aapl_return_pct,cof_return_pct
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0,,,,,,,0.42423074974194797,5.178960990630149,0.05,0.05,0.05,0.05
0,,,,,,,0.35320015396486204,7.912372293279155,0.05,0.05,0.05,0.15
0,,,,,,,0.31573407981097834,10.645783595928174,0.05,0.05,0.05,0.25
0,,,,,,,0.2952010329680125,13.379194898577175,0.05,0.05,0.05,0.35
0,,,,,,,0.2824790253785891,16.112606201226196,0.05,0.05,0.05,0.45
0,,,,,,,0.2738730495821568,18.846017503875206,0.05,0.05,0.05,0.55
0,,,,,,,0.2676784383781877,21.579428806524206,0.05,0.05,0.05,0.65
0,,,,,,,0.2630116511098674,24.312840109173216,0.05,0.05,0.05,0.75
0,,,,,,,0.43501251400238,8.579287306790201,0.05,0.05,0.15,0.05
0,,,,,,,0.3935980227915896,11.312698609439213,0.05,0.05,0.15,0.15
0,,,,,,,0.3572981652640619,14.046109912088221,0.05,0.05,0.15,0.25
0,,,,,,,0.33248020066560324,16.779521214737237,0.05,0.05,0.15,0.35
0,,,,,,,0.31526808350120444,19.51293251738625,0.05,0.05,0.15,0.45
0,,,,,,,0.3028257552926536,22.246343820035246,0.05,0.05,0.15,0.55
0,,,,,,,0.29347487684702556,24.979755122684278,0.05,0.05,0.15,0.65
0,,,,,,,0.28621516757440213,27.713166425333267,0.05,0.05,0.15,0.75
0,,,,,,,0.42719837964772805,11.979613622950257,0.05,0.05,0.25,0.05
0,,,,,,,0.40684373052443684,14.713024925599264,0.05,0.05,0.25,0.15
0,,,,,,,0.3796754564620564,17.446436228248274,0.05,0.05,0.25,0.25
0,,,,,,,0.3568797190117651,20.17984753089729,0.05,0.05,0.25,0.35
0,,,,,,,0.33911341620966245,22.91325883354631,0.05,0.05,0.25,0.45
0,,,,,,,0.3253000592528411,25.646670136195304,0.05,0.05,0.25,0.55
0,,,,,,,0.31439895226236125,28.38008143884433,0.05,0.05,0.25,0.65
0,,,,,,,0.30563724355391153,31.113492741493324,0.05,0.05,0.25,0.75
0,,,,,,,0.41994805775131183,15.37993993911031,0.05,0.05,0.35,0.05
0,,,,,,,0.4104974581780997,18.11335124175931,0.05,0.05,0.35,0.15
0,,,,,,,0.3915251254280444,20.846762544408314,0.05,0.05,0.35,0.25
0,,,,,,,0.37259188971707247,23.580173847057342,0.05,0.05,0.35,0.35
0,,,,,,,0.35618676077313094,26.313585149706363,0.05,0.05,0.35,0.45
0,,,,,,,0.34250641549473954,29.04699645235535,0.05,0.05,0.35,0.55
0,,,,,,,0.33117017210780403,31.78040775500436,0.05,0.05,0.35,0.65
0,,,,,,,0.32172934252397134,34.51381905765339,0.05,0.05,0.35,0.75
0,,,,,,,0.4144153905714636,18.78026625527036,0.05,0.05,0.45,0.05
0,,,,,,,0.41071549930211604,21.513677557919372,0.05,0.05,0.45,0.15
0,,,,,,,0.3977568773960208,24.24708886056838,0.05,0.05,0.45,0.25
0,,,,,,,0.3826892653520656,26.980500163217407,0.05,0.05,0.45,0.35
0,,,,,,,0.3683486242565885,29.713911465866396,0.05,0.05,0.45,0.45
0,,,,,,,0.3555937913167892,32.44732276851541,0.05,0.05,0.45,0.55
0,,,,,,,0.34452195024517207,35.1807340711644,0.05,0.05,0.45,0.65
0,,,,,,,0.3349760869030044,37.91414537381344,0.05,0.05,0.45,0.75
0,,,,,,,0.4102198242092206,22.18059257143042,0.05,0.05,0.55,0.05
0,,,,,,,0.4096957178995741,24.91400387407944,0.05,0.05,0.55,0.15
0,,,,,,,0.40095679857210015,27.647415176728458,0.05,0.05,0.55,0.25
0,,,,,,,0.3891961755418086,30.38082647937746,0.05,0.05,0.55,0.35
0,,,,,,,0.3770174674680533,33.11423778202645,0.05,0.05,0.55,0.45
0,,,,,,,0.3655310309953303,35.84764908467544,0.05,0.05,0.55,0.55
0,,,,,,,0.3551192208380463,38.58106038732447,0.05,0.05,0.55,0.65
0,,,,,,,0.34584120095641846,41.3144716899735,0.05,0.05,0.55,0.75
0,,,,,,,0.4069727606056989,25.58091888759047,0.05,0.05,0.65,0.05
0,,,,,,,0.408270687893847,28.314330190239478,0.05,0.05,0.65,0.15
0,,,,,,,0.40248422247163435,31.04774149288849,0.05,0.05,0.65,0.25
0,,,,,,,0.39339564581898,33.781152795537494,0.05,0.05,0.65,0.35
0,,,,,,,0.38321613733607146,36.51456409818651,0.05,0.05,0.65,0.45
0,,,,,,,0.3730850840746129,39.24797540083552,0.05,0.05,0.65,0.55
0,,,,,,,0.36352625593076665,41.98138670348451,0.05,0.05,0.65,0.65
0,,,,,,,0.3547396811024406,44.714798006133535,0.05,0.05,0.65,0.75
0,,,,,,,0.40440065879945475,28.981245203750504,0.05,0.05,0.75,0.05
0,,,,,,,0.4067695095812747,31.714656506399542,0.05,0.05,0.75,0.15
0,,,,,,,0.4030699776951282,34.44806780904854,0.05,0.05,0.75,0.25
0,,,,,,,0.3960947481747491,37.181479111697556,0.05,0.05,0.75,0.35
0,,,,,,,0.3876640699607092,39.914890414346544,0.05,0.05,0.75,0.45
0,,,,,,,0.3788426069606635,42.64830171699557,0.05,0.05,0.75,0.55
0,,,,,,,0.37020346946243904,45.38171301964457,0.05,0.05,0.75,0.65
0,,,,,,,0.36202772572661196,48.115124322293596,0.05,0.05,0.75,0.75
0,,,,,,,0.35756342032458105,5.683298204029852,0.05,0.15,0.05,0.05
0,,,,,,,0.32998728547729683,8.416709506678867,0.05,0.15,0.05,0.15
0,,,,,,,0.30566007442005455,11.150120809327868,0.05,0.15,0.05,0.25
