,0,1,2,3,4,5,sharpe_ratio,return_annualized,amzn_return_pct,xom_return_pct,aapl_return_pct,cof_return_pct,fb_return_pct
0,,,,,,,0.4048858775213661,8.038666838236196,0.1,0.1,0.1,0.05,0.05
0,,,,,,,0.4048858775213661,8.038666838236196,0.1,0.1,0.1,0.05,0.05
0,,,,,,,0.4048858775213661,8.038666838236196,0.1,0.1,0.1,0.05,0.05
0,,,,,,,0.4048858775213661,8.038666838236196,0.1,0.1,0.1,0.05,0.05
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4194792249257404,10.731428550227818,0.1,0.1,0.1,0.1,0.1
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4159090418068554,13.42419026221944,0.1,0.1,0.1,0.15,0.15
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4085648868902544,16.11695197421107,0.1,0.1,0.1,0.2,0.2
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.4012544216595334,18.809713686202702,0.1,0.1,0.1,0.25,0.25
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3948328663121425,21.502475398194317,0.1,0.1,0.1,0.3,0.3
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.3848289964357286,8.841868155893355,0.1,0.1,0.15,0.05,0.05
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4077115772399361,11.534629867884984,0.1,0.1,0.15,0.1,0.1
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.4107265500897911,14.227391579876613,0.1,0.1,0.15,0.15,0.15
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.40722031041398576,16.920153291868235,0.1,0.1,0.15,0.2,0.2
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.4020265321552327,19.612915003859857,0.1,0.1,0.15,0.25,0.25
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.3967646203637053,22.305676715851497,0.1,0.1,0.15,0.3,0.3
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.36505847847721273,9.645069473550524,0.1,0.1,0.2,0.05,0.05
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.3935685258361749,12.337831185542147,0.1,0.1,0.2,0.1,0.1
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.40250871642650343,15.03059289753378,0.1,0.1,0.2,0.15,0.15
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4030974139405737,17.72335460952539,0.1,0.1,0.2,0.2,0.2
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.4004752051319989,20.416116321517023,0.1,0.1,0.2,0.25,0.25
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.39679805834986864,23.108878033508645,0.1,0.1,0.2,0.3,0.3
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3473830807537935,10.448270791207682,0.1,0.1,0.25,0.05,0.05
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.3791093208420275,13.141032503199316,0.1,0.1,0.25,0.1,0.1
0,,,,,,,0.39273660789851617,15.833794215190931,0.1,0.1,0.25,0.15,0.15
