,start,end,years,tradesperyear,mean_annl_pct_return_strat,mean_annl_pct_return_buyhold,annual_return_strat_over_buyhold,mean_annl_pct_return_trd_avg,max_drawdown_pct,mar,Sortino_Ratio_annl,Sharp_Ratio_annl,long_ma,short_ma,atr_thrshld,days_in_trade,tck
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.14571301644,2.6280717820232002,19.323268240355972,-16.695196458332774,5.34968998589341,21.8666666667,0.12018620954374525,0.0804805027473081,0.05396335871632603,50,10,0.0,10,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.14571301644,10.183462434118029,19.323268240355972,-9.139805806237943,1.9661208540747381,22.1886792453,0.45894856208186197,0.3203412438797862,0.2076074072089194,50,10,0.0,20,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.14571301644,8.81224275414516,19.323268240355972,-10.511025486210812,0.7949335719713035,42.8450465707,0.20567704926176655,0.2678286301026296,0.17864232020951415,50,10,0.0,30,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.21057307863,3.332821602381597,20.52732153472585,-17.194499932344254,11.997422296106867,23.7414965986,0.1403795918481901,0.10201257503381977,0.06760530399221165,50,10,0.5,10,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.21057307863,11.045562372149309,20.52732153472585,-9.481759162576541,2.7850429746740564,23.7414965986,0.46524288501611527,0.34545797676415135,0.22243257705636324,50,10,0.5,20,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.21057307863,11.178389713408098,20.52732153472585,-9.348931821317752,1.9374275172230078,42.8450465707,0.2609027322437728,0.33953458752229193,0.2238606308101513,50,10,0.5,30,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.24300310973,3.514805494238016,20.00035735060608,-16.485551856368065,11.258946292202035,21.8666666667,0.16073805613893544,0.1097758381432159,0.07191879076746455,50,10,1.0,10,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.24300310973,11.256747835649893,20.00035735060608,-8.743609514956187,2.125790757843978,21.8666666667,0.5147902973620435,0.35588258654190164,0.22758700134011542,50,10,1.0,20,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.24300310973,11.05311119127601,20.00035735060608,-8.94724615933007,1.2747780797287502,42.8450465707,0.25797874144065036,0.33705995539812317,0.2216977485294242,50,10,1.0,30,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.24300310973,3.1029843344211328,18.35618894335782,-15.253204608936688,12.206752760192403,21.8666666667,0.1419047713912119,0.09482373376601158,0.0629661428928511,50,10,1.5,10,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.24300310973,9.35153283790713,18.35618894335782,-9.004656105450692,2.0228467827739665,21.8666666667,0.42766156270917227,0.2907696100824947,0.19128495382497543,50,10,1.5,20,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,3.24300310973,9.035992803441516,18.35618894335782,-9.320196139916305,1.3853966720123745,42.8450465707,0.21089935772459256,0.27030026058478346,0.18148832860691097,50,10,1.5,30,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,2.85384273656,5.362769471529294,20.23605045356467,-14.873280982035375,2.5340544732011065,21.1434735707,0.2536371071483541,0.17201232682980594,0.10583579272192543,50,15,0.0,10,ORCL
0,1986-05-21 00:00:00,2017-03-14 00:00:00,30.835616438356166,2.85384273656,9.127094501382693,20.23605045356467,-11.108955952181976,1.4584586000340933,28.6278550064,0.31881866452590135,0.2856497065463483,0.18160826745094297,50,15,0.0,20,ORCL
