,0,1,2,3,4,5,sharpe_ratio,return_annualized,amzn_return_pct,xom_return_pct,aapl_return_pct,cof_return_pct
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0,,,,,,,0.4214496534523859,7.291053171855767,0.1,0.1,0.05,0.05
0,,,,,,,0.4060423798586529,8.657758823180272,0.1,0.1,0.05,0.1
0,,,,,,,0.3842663358982793,10.02446447450478,0.1,0.1,0.05,0.15
0,,,,,,,0.3644348980213851,11.39117012582928,0.1,0.1,0.05,0.2
0,,,,,,,0.34799745389710723,12.757875777153787,0.1,0.1,0.05,0.25
0,,,,,,,0.3346361048761802,14.124581428478294,0.1,0.1,0.05,0.3
0,,,,,,,0.43888451891046276,8.991216329935797,0.1,0.1,0.1,0.05
0,,,,,,,0.42423074974194797,10.357921981260297,0.1,0.1,0.1,0.1
0,,,,,,,0.4037899734405765,11.724627632584804,0.1,0.1,0.1,0.15
0,,,,,,,0.38426649367337207,13.091333283909307,0.1,0.1,0.1,0.2
0,,,,,,,0.3673832915401265,14.458038935233816,0.1,0.1,0.1,0.25
0,,,,,,,0.35320015396486204,15.82474458655831,0.1,0.1,0.1,0.3
0,,,,,,,0.44413443743741343,10.69137948801582,0.1,0.1,0.15,0.05
0,,,,,,,0.43258348866636076,12.058085139340324,0.1,0.1,0.15,0.1
0,,,,,,,0.41527653221352057,13.42479079066483,0.1,0.1,0.15,0.15
0,,,,,,,0.3976444513412979,14.791496441989334,0.1,0.1,0.15,0.2
0,,,,,,,0.38161147029763476,16.158202093313847,0.1,0.1,0.15,0.25
0,,,,,,,0.3676181990870423,17.524907744638348,0.1,0.1,0.15,0.3
0,,,,,,,0.4440768589294011,12.391542646095854,0.1,0.1,0.2,0.05
0,,,,,,,0.43567827251208924,13.758248297420348,0.1,0.1,0.2,0.1
0,,,,,,,0.42170679113317444,15.124953948744853,0.1,0.1,0.2,0.15
0,,,,,,,0.4064808409619765,16.491659600069354,0.1,0.1,0.2,0.2
0,,,,,,,0.3919172324371273,17.858365251393863,0.1,0.1,0.2,0.25
0,,,,,,,0.3787042218347498,19.225070902718375,0.1,0.1,0.2,0.3
0,,,,,,,0.4418429136423162,14.091705804175874,0.1,0.1,0.25,0.05
0,,,,,,,0.4360391021927334,15.458411455500375,0.1,0.1,0.25,0.1
0,,,,,,,0.42502558984937994,16.825117106824884,0.1,0.1,0.25,0.15
0,,,,,,,0.4121921013836311,18.191822758149396,0.1,0.1,0.25,0.2
0,,,,,,,0.39930585314049466,19.558528409473897,0.1,0.1,0.25,0.25
0,,,,,,,0.38716899454221787,20.925234060798388,0.1,0.1,0.25,0.3
0,,,,,,,0.43882103944786477,15.7918689622559,0.1,0.1,0.3,0.05
0,,,,,,,0.43501251400238,17.158574613580402,0.1,0.1,0.3,0.1
0,,,,,,,0.4264466273732023,18.525280264904914,0.1,0.1,0.3,0.15
0,,,,,,,0.4157737797914235,19.891985916229416,0.1,0.1,0.3,0.2
0,,,,,,,0.4045503525954883,21.25869156755392,0.1,0.1,0.3,0.25
0,,,,,,,0.3935980227915896,22.625397218878426,0.1,0.1,0.3,0.3
0,,,,,,,0.39547958481184764,7.543221778555621,0.1,0.15,0.05,0.05
0,,,,,,,0.3868642868026277,8.909927429880128,0.1,0.15,0.05,0.1
0,,,,,,,0.3709183696210676,10.276633081204622,0.1,0.15,0.05,0.15
0,,,,,,,0.35505990724120956,11.643338732529132,0.1,0.15,0.05,0.2
0,,,,,,,0.34123189655038916,13.01004438385364,0.1,0.15,0.05,0.25
0,,,,,,,0.3296095446913447,14.376750035178148,0.1,0.15,0.05,0.3
0,,,,,,,0.4178813879447341,9.24338493663565,0.1,0.15,0.1,0.05
0,,,,,,,0.40778211852234797,10.61009058796015,0.1,0.15,0.1,0.1
0,,,,,,,0.39163008776867225,11.976796239284658,0.1,0.15,0.1,0.15
0,,,,,,,0.37530490803412625,13.343501890609158,0.1,0.15,0.1,0.2
0,,,,,,,0.36067433965985496,14.710207541933663,0.1,0.15,0.1,0.25
0,,,,,,,0.34807299211689224,16.07691319325816,0.1,0.15,0.1,0.3
0,,,,,,,0.42788492076329654,10.943548094715672,0.1,0.15,0.15,0.05
0,,,,,,,0.41906578895339136,12.31025374604018,0.1,0.15,0.15,0.1
0,,,,,,,0.40467532993040717,13.676959397364676,0.1,0.15,0.15,0.15
0,,,,,,,0.389445048788416,15.043665048689185,0.1,0.15,0.15,0.2
0,,,,,,,0.3752367866601084,16.410370700013694,0.1,0.15,0.15,0.25
0,,,,,,,0.3626004102826398,17.7770763513382,0.1,0.15,0.15,0.3
0,,,,,,,0.4315612955886563,12.6437112527957,0.1,0.15,0.2,0.05
0,,,,,,,0.4247102124926822,14.010416904120198,0.1,0.15,0.2,0.1
0,,,,,,,0.4126479560203736,15.377122555444704,0.1,0.15,0.2,0.15
0,,,,,,,0.3991584540399608,16.743828206769216,0.1,0.15,0.2,0.2
0,,,,,,,0.38601707187926554,18.110533858093717,0.1,0.15,0.2,0.25
0,,,,,,,0.3739245512505746,19.477239509418222,0.1,0.15,0.2,0.3
0,,,,,,,0.4321022942913998,14.343874410875724,0.1,0.15,0.25,0.05
0,,,,,,,0.4271300987842112,15.71058006220023,0.1,0.15,0.25,0.1
0,,,,,,,0.4173394780207334,17.077285713524738,0.1,0.15,0.25,0.15
0,,,,,,,0.4057345572759524,18.443991364849236,0.1,0.15,0.25,0.2
0,,,,,,,0.3939307561564746,19.810697016173734,0.1,0.15,0.25,0.25
0,,,,,,,0.38269616192107836,21.17740266749825,0.1,0.15,0.25,0.3
0,,,,,,,0.43112422264863787,16.044037568955748,0.1,0.15,0.3,0.05
0,,,,,,,0.4277239009458223,17.410743220280253,0.1,0.15,0.3,0.1
0,,,,,,,0.4199262800028613,18.777448871604754,0.1,0.15,0.3,0.15
0,,,,,,,0.4101104189998375,20.144154522929263,0.1,0.15,0.3,0.2
0,,,,,,,0.3996981983675872,21.51086017425377,0.1,0.15,0.3,0.25
0,,,,,,,0.3894600934177528,22.877565825578277,0.1,0.15,0.3,0.3
0,,,,,,,0.37016985607562464,7.795390385255466,0.1,0.2,0.05,0.05
0,,,,,,,0.3675470838461527,9.162096036579978,0.1,0.2,0.05,0.1
0,,,,,,,0.3569902154164405,10.528801687904481,0.1,0.2,0.05,0.15
0,,,,,,,0.34499775988555204,11.895507339228978,0.1,0.2,0.05,0.2
0,,,,,,,0.3338124574162622,13.26221299055349,0.1,0.2,0.05,0.25
0,,,,,,,0.3240043009095397,14.628918641877984,0.1,0.2,0.05,0.3
0,,,,,,,0.3963292068474005,9.4955535433355,0.1,0.2,0.1,0.05
0,,,,,,,0.39068546607777654,10.862259194660009,0.1,0.2,0.1,0.1
0,,,,,,,0.37873941260817306,12.228964845984502,0.1,0.2,0.1,0.15
0,,,,,,,0.3656324025327589,13.595670497309015,0.1,0.2,0.1,0.2
0,,,,,,,0.35332506096465677,14.962376148633513,0.1,0.2,0.1,0.25
0,,,,,,,0.34238833182994327,16.329081799958015,0.1,0.2,0.1,0.3
0,,,,,,,0.4104722174425488,11.195716701415511,0.1,0.2,0.15,0.05
0,,,,,,,0.4046070450602399,12.562422352740024,0.1,0.2,0.15,0.1
