,0,1,2,3,aapl_return_pct,amzn_return_pct,cof_return_pct,return_annualized,sharpe_ratio,xom_return_pct
0,0.0,0.0,0.0,0.0,,,,0.0,0.0,
0,,,,,0.05,0.05,0.05,4.078076100155382,0.29072333805175044,0.05
0,,,,,0.05,0.05,0.15,4.9491324908103875,0.20645695215334983,0.05
0,,,,,0.05,0.05,0.25,5.820188881465399,0.163234803825093,0.05
0,,,,,0.05,0.05,0.35,6.691245272120406,0.13992609000384212,0.05
0,,,,,0.05,0.05,0.45,7.5623016627754165,0.12567313661827256,0.05
0,,,,,0.05,0.05,0.55,8.433358053430432,0.11612681819514488,0.05
0,,,,,0.05,0.05,0.65,9.30441444408543,0.10930703612162235,0.05
0,,,,,0.05,0.05,0.75,10.175470834740443,0.10419935437301224,0.05
0,,,,,0.15,0.05,0.05,7.395021861365656,0.3132793467337429,0.05
0,,,,,0.15,0.05,0.15,8.266078252020668,0.261971370429123,0.05
0,,,,,0.15,0.05,0.25,9.137134642675678,0.2182445463981639,0.05
0,,,,,0.15,0.05,0.35,10.008191033330682,0.188172709181135,0.05
0,,,,,0.15,0.05,0.45,10.879247423985698,0.1674023756358677,0.05
0,,,,,0.15,0.05,0.55,11.750303814640695,0.15249790741989536,0.05
0,,,,,0.15,0.05,0.65,12.621360205295712,0.14138217053783803,0.05
0,,,,,0.15,0.05,0.75,13.492416595950722,0.13281302693020425,0.05
0,,,,,0.25,0.05,0.05,10.711967622575937,0.3127901348087504,0.05
0,,,,,0.25,0.05,0.15,11.58302401323094,0.28329214668957503,0.05
0,,,,,0.25,0.05,0.25,12.45408040388596,0.24960715502886424,0.05
0,,,,,0.25,0.05,0.35,13.325136794540967,0.221288471724028,0.05
0,,,,,0.25,0.05,0.45,14.196193185195977,0.199152658542474,0.05
0,,,,,0.25,0.05,0.55,15.067249575850973,0.18197851172385626,0.05
0,,,,,0.25,0.05,0.65,15.93830596650599,0.16849046951250488,0.05
0,,,,,0.25,0.05,0.75,16.80936235716099,0.15771259427793824,0.05
0,,,,,0.35,0.05,0.05,14.028913383786216,0.3103302703239561,0.05
0,,,,,0.35,0.05,0.15,14.899969774441225,0.2920389406498876,0.05
0,,,,,0.35,0.05,0.25,15.771026165096217,0.26729240521034675,0.05
0,,,,,0.35,0.05,0.35,16.642082555751237,0.24331017213545963,0.05
0,,,,,0.35,0.05,0.45,17.513138946406254,0.2225215013709051,0.05
0,,,,,0.35,0.05,0.55,18.384195337061247,0.20517292488883543,0.05
0,,,,,0.35,0.05,0.65,19.255251727716264,0.19082252406601743,0.05
0,,,,,0.35,0.05,0.75,20.126308118371277,0.17891437132730117,0.05
0,,,,,0.45,0.05,0.05,17.345859144996492,0.3081017277386208,0.05
0,,,,,0.45,0.05,0.15,18.216915535651506,0.29592279591390874,0.05
0,,,,,0.45,0.05,0.25,19.08797192630651,0.2775899149617978,0.05
0,,,,,0.45,0.05,0.35,19.959028316961525,0.2579723738125334,0.05
0,,,,,0.45,0.05,0.45,20.830084707616518,0.23953258546706568,0.05
0,,,,,0.45,0.05,0.55,21.70114109827154,0.22314986251231503,0.05
0,,,,,0.45,0.05,0.65,22.572197488926548,0.20893642670859197,0.05
0,,,,,0.45,0.05,0.75,23.44325387958155,0.19670383049737503,0.05
0,,,,,0.55,0.05,0.05,20.662804906206773,0.3063007628475658,0.05
0,,,,,0.55,0.05,0.15,21.533861296861783,0.29772683793913385,0.05
