,start,end,years,tradesperyear,mean_annl_pct_return_strat,mean_annl_pct_return_buyhold,annual_return_strat_over_buyhold,mean_annl_pct_return_trd_avg,max_drawdown_pct,mar,Sortino_Ratio_annl,Sharp_Ratio_annl,long_ma,short_ma,atr_thrshld,days_in_trade,tck
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.26376488095,-1.5041993596274783,7.599994957067602,-9.10419431669508,1.5644980791075285,20.2878103837,-0.0741430115510406,-0.05031836324813675,-0.03556910792184885,50,5,0.5,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.26376488095,0.37007576440526435,7.599994957067602,-7.229919192662337,1.4902263810065481,34.2810457516,0.010795346416397686,0.012145890152494728,0.008403688590325106,50,5,0.5,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.26376488095,1.1875175065271693,7.599994957067602,-6.4124774505404325,0.8068177652777069,46.0422535211,0.025791906688109018,0.037311287146763183,0.026120800002472477,50,5,0.5,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.34523809524,-1.7305742467171759,8.004032922848525,-9.7346071695657,1.5439515339435013,18.8247529901,-0.09193078111705355,-0.057461247760782826,-0.04078686455137249,50,5,1.0,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.34523809524,-0.18027911729939783,8.004032922848525,-8.184312040147923,1.464123028050837,34.2810457516,-0.0052588569965315675,-0.005889190068503415,-0.004083531743749863,50,5,1.0,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.34523809524,0.9770146201836916,8.004032922848525,-7.027018302664834,0.7653128169689468,46.0422535211,0.021219956571747193,0.030685268981830056,0.021480100980319935,50,5,1.0,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.42671130952,-3.154198813107101,8.311638642731234,-11.465837455838335,1.4492518344596124,18.8247529901,-0.16755592037583802,-0.10330632828104434,-0.07395057743600221,50,5,1.5,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.42671130952,-1.2748709034828831,8.311638642731234,-9.586509546214117,1.4318402999271562,35.7005654022,-0.035710104003133424,-0.041036381016179804,-0.028648469672572754,50,5,1.5,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,4.42671130952,-0.31377244122110515,8.311638642731234,-8.62541108395234,0.7410673831723873,46.0422535211,-0.006814880185591403,-0.009814126666852677,-0.006884130481351281,50,5,1.5,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.28608630952,0.8677602888747415,12.574492265038328,-11.706731976163587,1.6256942048379428,22.6120180618,0.038376065617055054,0.02958731824592769,0.020693353567461117,50,10,0.0,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.28608630952,-2.164911873727504,12.574492265038328,-14.739404138765833,0.893347337902943,36.0194511983,-0.06010396609895566,-0.07221316832262537,-0.050652437120786646,50,10,0.0,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.28608630952,-2.1810359361454923,12.574492265038328,-14.755528201183822,0.5279813687640241,48.4742441209,-0.04499370698187523,-0.06708137865512855,-0.04772739026271585,50,10,0.0,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.4490327381,0.5910096868858572,12.477021539426625,-11.886011852540769,1.599601868180044,22.6120180618,0.02613697217425986,0.019793994929567453,0.013933300525389032,50,10,0.5,10,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.4490327381,-1.6459004379345,12.477021539426625,-14.122921977361125,0.9435338006488969,36.0194511983,-0.04569476722096037,-0.054719866777491424,-0.03830407860267965,50,10,0.5,20,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.4490327381,-2.7303017610219027,12.477021539426625,-15.207323300448527,0.5206432052662129,48.4742441209,-0.05632479289847088,-0.08399050693495481,-0.059905537130836,50,10,0.5,30,INTC
0,1980-05-27 00:00:00,2017-03-14 00:00:00,36.821917808219176,3.47619047619,0.9993312238859353,12.63244424644494,-11.633113022559005,2.01214521897417,22.6120180618,0.04419469421762667,0.033975342136162635,0.023843761067035688,50,10,1.0,10,INTC
