,0,1,2,3,4,5,sharpe_ratio,return_annualized,amzn_return_pct,xom_return_pct,aapl_return_pct,cof_return_pct
0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0,,,,,,,0.3047258478297402,5.8953529331530286,0.05,0.05,0.05,0.05
0,,,,,,,0.2624603510250887,7.942922807127133,0.05,0.05,0.05,0.15
0,,,,,,,0.23107857658523834,9.990492681101232,0.05,0.05,0.05,0.25
0,,,,,,,0.21167478011768937,12.038062555075324,0.05,0.05,0.05,0.35
0,,,,,,,0.19898084228245197,14.085632429049424,0.05,0.05,0.05,0.45
0,,,,,,,0.19013671733494264,16.13320230302351,0.05,0.05,0.05,0.55
0,,,,,,,0.18365446358131246,18.180772176997607,0.05,0.05,0.05,0.65
0,,,,,,,0.17871172118546377,20.22834205097172,0.05,0.05,0.05,0.75
0,,,,,,,0.3090223405703742,9.774189779879116,0.05,0.05,0.15,0.05
0,,,,,,,0.2946376401705054,11.82175965385321,0.05,0.05,0.15,0.15
0,,,,,,,0.2703907215497999,13.8693295278273,0.05,0.05,0.15,0.25
0,,,,,,,0.24967998460600177,15.916899401801405,0.05,0.05,0.15,0.35
0,,,,,,,0.2337067650065239,17.9644692757755,0.05,0.05,0.15,0.45
0,,,,,,,0.22146882854221556,20.01203914974959,0.05,0.05,0.15,0.55
0,,,,,,,0.2119434996051931,22.059609023723667,0.05,0.05,0.15,0.65
0,,,,,,,0.2043785091004134,24.10717889769779,0.05,0.05,0.15,0.75
0,,,,,,,0.29760415422709346,13.653026626605188,0.05,0.05,0.25,0.05
0,,,,,,,0.29767464888649675,15.700596500579287,0.05,0.05,0.25,0.15
0,,,,,,,0.2852613666699556,17.74816637455339,0.05,0.05,0.25,0.25
0,,,,,,,0.27009308151675143,19.795736248527497,0.05,0.05,0.25,0.35
0,,,,,,,0.25593237654840506,21.84330612250156,0.05,0.05,0.25,0.45
0,,,,,,,0.24372695806357764,23.89087599647567,0.05,0.05,0.25,0.55
0,,,,,,,0.23345688670120557,25.93844587044976,0.05,0.05,0.25,0.65
0,,,,,,,0.22484518256866917,27.986015744423856,0.05,0.05,0.25,0.75
0,,,,,,,0.2887305944834842,17.531863473331263,0.05,0.05,0.35,0.05
0,,,,,,,0.2940992682585763,19.57943334730537,0.05,0.05,0.35,0.15
0,,,,,,,0.28928674229174733,21.627003221279477,0.05,0.05,0.35,0.25
0,,,,,,,0.2798316916159508,23.674573095253557,0.05,0.05,0.35,0.35
0,,,,,,,0.269079757616274,25.72214296922767,0.05,0.05,0.35,0.45
0,,,,,,,0.2586152848150661,27.76971284320176,0.05,0.05,0.35,0.55
0,,,,,,,0.24904885264635868,29.81728271717585,0.05,0.05,0.35,0.65
0,,,,,,,0.2405351418453174,31.864852591149948,0.05,0.05,0.35,0.75
0,,,,,,,0.28241974990828483,21.41070032005735,0.05,0.05,0.45,0.05
0,,,,,,,0.2896213347165522,23.45827019403142,0.05,0.05,0.45,0.15
0,,,,,,,0.2890719929103242,25.505840068005543,0.05,0.05,0.45,0.25
0,,,,,,,0.2838651497464717,27.553409941979623,0.05,0.05,0.45,0.35
0,,,,,,,0.2763928954061345,29.600979815953735,0.05,0.05,0.45,0.45
0,,,,,,,0.2681518625953821,31.648549689927847,0.05,0.05,0.45,0.55
0,,,,,,,0.25995926461160646,33.696119563901924,0.05,0.05,0.45,0.65
0,,,,,,,0.25221072303530856,35.74368943787601,0.05,0.05,0.45,0.75
0,,,,,,,0.277824420660988,25.289537166783436,0.05,0.05,0.55,0.05
0,,,,,,,0.28552493522568645,27.337107040757523,0.05,0.05,0.55,0.15
0,,,,,,,0.28732130322163935,29.384676914731607,0.05,0.05,0.55,0.25
0,,,,,,,0.2849981771371908,31.43224678870572,0.05,0.05,0.55,0.35
0,,,,,,,0.28017014755592967,33.47981666267982,0.05,0.05,0.55,0.45
0,,,,,,,0.2740374949974792,35.52738653665392,0.05,0.05,0.55,0.55
0,,,,,,,0.26739037533790483,37.57495641062802,0.05,0.05,0.55,0.65
0,,,,,,,0.2607055522172543,39.62252628460212,0.05,0.05,0.55,0.75
0,,,,,,,0.2743621316974799,29.1683740135095,0.05,0.05,0.65,0.05
0,,,,,,,0.2820240466735889,31.21594388748364,0.05,0.05,0.65,0.15
0,,,,,,,0.2851095195466425,33.263513761457716,0.05,0.05,0.65,0.25
0,,,,,,,0.2846935769296112,35.311083635431814,0.05,0.05,0.65,0.35
0,,,,,,,0.2818590149993813,37.35865350940589,0.05,0.05,0.65,0.45
0,,,,,,,0.2775118768852785,39.40622338337999,0.05,0.05,0.65,0.55
0,,,,,,,0.27232807121776265,41.4537932573541,0.05,0.05,0.65,0.65
0,,,,,,,0.26677360367546743,43.50136313132815,0.05,0.05,0.65,0.75
0,,,,,,,0.2716715900873568,33.04721086023558,0.05,0.05,0.75,0.05
0,,,,,,,0.2790769995826355,35.094780734209664,0.05,0.05,0.75,0.15
0,,,,,,,0.28286148801366495,37.14235060818376,0.05,0.05,0.75,0.25
0,,,,,,,0.2837006091983886,39.189920482157866,0.05,0.05,0.75,0.35
0,,,,,,,0.28232949652511147,41.23749035613195,0.05,0.05,0.75,0.45
0,,,,,,,0.2794183219605586,43.285060230106076,0.05,0.05,0.75,0.55
0,,,,,,,0.2755144698966594,45.33263010408011,0.05,0.05,0.75,0.65
0,,,,,,,0.2710326495775939,47.3801999780543,0.05,0.05,0.75,0.75
0,,,,,,,0.3017651054714604,6.772464208863591,0.05,0.15,0.05,0.05
0,,,,,,,0.2673259423634528,8.820034082837676,0.05,0.15,0.05,0.15
0,,,,,,,0.23799013898589466,10.867603956811784,0.05,0.15,0.05,0.25
0,,,,,,,0.21850663778177282,12.915173830785877,0.05,0.15,0.05,0.35
0,,,,,,,0.20526397112917846,14.962743704759976,0.05,0.15,0.05,0.45
0,,,,,,,0.19582435436322343,17.010313578734078,0.05,0.15,0.05,0.55
0,,,,,,,0.18880158852243253,19.05788345270816,0.05,0.15,0.05,0.65
0,,,,,,,0.18339060492396758,21.105453326682262,0.05,0.15,0.05,0.75
0,,,,,,,0.3120589826618211,10.65130105558967,0.05,0.15,0.15,0.05
0,,,,,,,0.2978490314366568,12.698870929563759,0.05,0.15,0.15,0.15
0,,,,,,,0.2746761821863768,14.746440803537856,0.05,0.15,0.15,0.25
0,,,,,,,0.2543821497864081,16.794010677511952,0.05,0.15,0.15,0.35
0,,,,,,,0.2383968389534046,18.841580551486047,0.05,0.15,0.15,0.45
0,,,,,,,0.22596183394979108,20.88915042546015,0.05,0.15,0.15,0.55
0,,,,,,,0.21617628820711976,22.93672029943425,0.05,0.15,0.15,0.65
0,,,,,,,0.20834128308859853,24.98429017340834,0.05,0.15,0.15,0.75
0,,,,,,,0.3026817773751859,14.53013790231576,0.05,0.15,0.25,0.05
0,,,,,,,0.3014102542547254,16.57770777628983,0.05,0.15,0.25,0.15
0,,,,,,,0.28886304673587426,18.625277650263936,0.05,0.15,0.25,0.25
0,,,,,,,0.27378294845027595,20.672847524238033,0.05,0.15,0.25,0.35
0,,,,,,,0.2596439658244619,22.72041739821215,0.05,0.15,0.25,0.45
0,,,,,,,0.24737239793899238,24.767987272186254,0.05,0.15,0.25,0.55
0,,,,,,,0.23697957463257321,26.81555714616033,0.05,0.15,0.25,0.65
0,,,,,,,0.2282170860405292,28.86312702013445,0.05,0.15,0.25,0.75
0,,,,,,,0.2939524660991175,18.408974749041835,0.05,0.15,0.35,0.05
0,,,,,,,0.29805864219993755,20.456544623015915,0.05,0.15,0.35,0.15
0,,,,,,,0.2927148902894333,22.504114496990024,0.05,0.15,0.35,0.25
0,,,,,,,0.28307269583232647,24.551684370964125,0.05,0.15,0.35,0.35
0,,,,,,,0.2722405950528443,26.59925424493821,0.05,0.15,0.35,0.45
0,,,,,,,0.2617083871172452,28.64682411891231,0.05,0.15,0.35,0.55
0,,,,,,,0.25206088732999654,30.694393992886404,0.05,0.15,0.35,0.65
0,,,,,,,0.24345154396974977,32.74196386686048,0.05,0.15,0.35,0.75
0,,,,,,,0.2873132895603102,22.2878115957679,0.05,0.15,0.45,0.05
0,,,,,,,0.29351887783261194,24.335381469742007,0.05,0.15,0.45,0.15
0,,,,,,,0.29238735511219843,26.382951343716105,0.05,0.15,0.45,0.25
0,,,,,,,0.286873216905625,28.430521217690224,0.05,0.15,0.45,0.35
0,,,,,,,0.27923616369287424,30.47809109166431,0.05,0.15,0.45,0.45
0,,,,,,,0.2708912698042913,32.5256609656384,0.05,0.15,0.45,0.55
0,,,,,,,0.26261569368310317,34.573230839612485,0.05,0.15,0.45,0.65
0,,,,,,,0.2547885891163799,36.6208007135866,0.05,0.15,0.45,0.75
0,,,,,,,0.2823046768482301,26.166648442493994,0.05,0.15,0.55,0.05
0,,,,,,,0.2892360181079648,28.214218316468074,0.05,0.15,0.55,0.15
0,,,,,,,0.29050367560612217,30.261788190442175,0.05,0.15,0.55,0.25
